text,analyzed_token,true_label,pred_label,prob_anomaly,error_category,model,scenario
Výzkum na místě potrvá ještě několik týdnů.,,0.0,0.0,0.009739504614831139,TN,LogReg,robustness
Zraněné osoby byly převezeny do Všeobecné fakultní nemocnice.,,0.0,0.0,0.00497176745224579,TN,LogReg,robustness
"Technologické společnosti neustále selhávají při potlačování nebezpečných obsahů, navzdory veškerým slibům zlepšení.",,1.0,1.0,0.9939549655438206,TP,LogReg,robustness
Opatření vstoupí v platnost v průběhu příští vegetační sezóny v celé republice.,,0.0,0.0,0.015953251076949105,TN,LogReg,robustness
Ceny základních komodit zůstávají na trzích nadprůměrně vysoké.,,0.0,0.0,0.09709509574686281,TN,LogReg,robustness
Na případu intenzivně pracuje speciální tým kriminalistů a vyšetřovatelů.,,0.0,0.0,0.00033778358433123637,TN,LogReg,robustness
"Kritici namítají, že politici by se s přijetím tak důležité ekologické normy neměli flákat a měli by jednat bezodkladně.",,1.0,1.0,0.9914101835958499,TP,LogReg,robustness
Celková investice do této první fáze přesáhne 150 milionů korun.,,0.0,0.0,0.22911057051160955,TN,LogReg,robustness
"Mezinárodní společenství musí překonat regionální úskalí, aby dosáhlo plné proočkovanosti populace.",,1.0,1.0,0.953438810670632,TP,LogReg,robustness
Letiště v Brně oznámilo rekordní počet odbavených cestujících.,,0.0,0.0,0.0013562705021067161,TN,LogReg,robustness
"Jeden z hostů se snažil důrazně vyřešit spor s obsluhou, což vedlo k lehčím zraněním.",,1.0,1.0,0.9813958713414546,TP,LogReg,robustness
Zraněný muž byl vrtulníkem transportován do nedaleké nemocnice v Jihlavě.,,0.0,0.0,0.06532991579443939,TN,LogReg,robustness
"Prý už to ale nepůjde změnit, jelikož ústavní soud ve věci už jednou rozhodl.",,1.0,1.0,0.9045178547825448,TP,LogReg,robustness
Energetický regulační úřad zveřejnil analýzu cen elektřiny pro domácnosti v zemi.,,0.0,0.0,0.0157942327608547,TN,LogReg,robustness
Schválená legislativa by měla sloužit jako motor pro urychlení dekarbonizace celého průmyslového sektoru.,,1.0,1.0,0.9528048666615807,TP,LogReg,robustness
Škoda byla předběžně vyčíslena na 20 milionů korun v majetku firmy a města.,,0.0,0.0,0.047910685585238554,TN,LogReg,robustness
"Podle neoficiálních zdrojů panuje v opozici názor, že většina občanů s navýšením rozpočtu na obranu nesouhlasí.",,1.0,0.0,0.48740956421225506,FN,LogReg,robustness
Opatření mají za cíl zvýšit transparentnost a snížit korupci v českém fotbalu.,,0.0,0.0,0.0828401144660431,TN,LogReg,robustness
"Obviněný politik měl údajně převést obrovské prachy na zahraniční účty v daňových rájích, čímž poškodil státní kasu.",,1.0,1.0,0.9456325411003156,TP,LogReg,robustness
Analytici požadují věcnou debatu o budoucích programových prioritách koalice.,,0.0,1.0,0.548096032206947,FP,LogReg,robustness
Zavedení nových technologií pro ukládání energie by mohlo vyřešit velkou část problémů s přetoky elektřiny.,,1.0,0.0,0.43781606364268416,FN,LogReg,robustness
Sponzoři zvažují ukončení spolupráce s kluby.,,0.0,0.0,0.05585949631081482,TN,LogReg,robustness
Krajská nemocnice musela omezit plánované operace.,,0.0,0.0,0.013183738954501291,TN,LogReg,robustness
Jeho nešťastné vyjádření k mezinárodnímu obchodu vyvolalo obrovský trapas v diplomatických kruzích a médiích.,,1.0,1.0,0.8073567448814575,TP,LogReg,robustness
"Vláda schválila ambiciózní plán, který počítá s navýšením kapacity geotermální energie do roku 2035 o 500 MW.",,1.0,1.0,0.5488992766796588,TP,LogReg,robustness
"Uživatelé si pochvalují rychlost a intuitivní design, platforma má prý skvělý vibe.",,1.0,1.0,0.9879208169186042,TP,LogReg,robustness
Příčina požáru je stále předmětem vyšetřování.,,0.0,0.0,0.009790309129771798,TN,LogReg,robustness
"Vyšetřovatelé zjistili, že tito borci používali sofistikované AI nástroje pro generování uvěřitelného vizuálního obsahu.",,1.0,1.0,0.9911345009103644,TP,LogReg,robustness
Nehoda dvou osobních aut zablokovala křižovatku.,,0.0,0.0,0.14571223670753888,TN,LogReg,robustness
Nový model bude dostupný ve variantě elektrické a také hybridní verze.,,0.0,0.0,0.07331649770879416,TN,LogReg,robustness
Noví generálové složili slib věrnosti republice.,,0.0,0.0,0.08504215188410554,TN,LogReg,robustness
"Celý proces jednání o kupní ceně proběhl za naprosté tajnosti, ačkoli se jedná o lukrativní parcelu ve vlastnictví města.",,1.0,1.0,0.9756486911681007,TP,LogReg,robustness
"Podle svědků se jednalo o skutečnou větrnou apokalypsu, jakou region za posledních dvacet let nezažil.",,1.0,1.0,0.9993108094571433,TP,LogReg,robustness
