document_id,sentence_id,form,pos,sentence_context,true_label,pred_label,category
gold_doc_0003,gold_doc_0003_target,Tempo,NOUN,Tempo výstavby nových bytů je žalostné .,0,1,FP
gold_doc_0003,gold_doc_0003_target,výstavby,NOUN,Tempo výstavby nových bytů je žalostné .,0,1,FP
gold_doc_0003,gold_doc_0003_target,nových,ADJ,Tempo výstavby nových bytů je žalostné .,0,1,FP
gold_doc_0003,gold_doc_0003_target,bytů,NOUN,Tempo výstavby nových bytů je žalostné .,0,0,TN
gold_doc_0003,gold_doc_0003_target,žalostné,ADJ,Tempo výstavby nových bytů je žalostné .,1,1,TP
gold_doc_0007,gold_doc_0007_target,Produktivita,NOUN,Produktivita práce v některých odvětvích je však mizerná .,0,1,FP
gold_doc_0007,gold_doc_0007_target,práce,NOUN,Produktivita práce v některých odvětvích je však mizerná .,0,1,FP
gold_doc_0007,gold_doc_0007_target,odvětvích,NOUN,Produktivita práce v některých odvětvích je však mizerná .,0,1,FP
gold_doc_0007,gold_doc_0007_target,mizerná,ADJ,Produktivita práce v některých odvětvích je však mizerná .,1,1,TP
gold_doc_0010,gold_doc_0010_target,Úroveň,NOUN,Úroveň čistoty ve vozidlech je otřesná .,0,1,FP
gold_doc_0010,gold_doc_0010_target,čistoty,NOUN,Úroveň čistoty ve vozidlech je otřesná .,0,1,FP
gold_doc_0010,gold_doc_0010_target,vozidlech,NOUN,Úroveň čistoty ve vozidlech je otřesná .,0,1,FP
gold_doc_0010,gold_doc_0010_target,otřesná,ADJ,Úroveň čistoty ve vozidlech je otřesná .,1,1,TP
gold_doc_0011,gold_doc_0011_target,Naprosté,ADJ,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,1,1,TP
gold_doc_0011,gold_doc_0011_target,selhání,NOUN,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0011,gold_doc_0011_target,dozorových,ADJ,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0011,gold_doc_0011_target,orgánů,NOUN,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0011,gold_doc_0011_target,vedlo,VERB,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0011,gold_doc_0011_target,opožděné,ADJ,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0011,gold_doc_0011_target,reakci,NOUN,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0011,gold_doc_0011_target,růst,NOUN,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0011,gold_doc_0011_target,cen,NOUN,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,0,1,FP
gold_doc_0014,gold_doc_0014_target,Vývoj,NOUN,Vývoj na trhu práce je alarmující zejména v menších regionech .,0,1,FP
gold_doc_0014,gold_doc_0014_target,trhu,NOUN,Vývoj na trhu práce je alarmující zejména v menších regionech .,0,1,FP
gold_doc_0014,gold_doc_0014_target,práce,NOUN,Vývoj na trhu práce je alarmující zejména v menších regionech .,0,1,FP
gold_doc_0014,gold_doc_0014_target,alarmující,ADJ,Vývoj na trhu práce je alarmující zejména v menších regionech .,1,1,TP
gold_doc_0014,gold_doc_0014_target,zejména,ADV,Vývoj na trhu práce je alarmující zejména v menších regionech .,0,1,FP
gold_doc_0014,gold_doc_0014_target,menších,ADJ,Vývoj na trhu práce je alarmující zejména v menších regionech .,0,1,FP
gold_doc_0014,gold_doc_0014_target,regionech,NOUN,Vývoj na trhu práce je alarmující zejména v menších regionech .,0,1,FP
gold_doc_0031,gold_doc_0031_target,jihu,NOUN,Na jihu země to ale vypadá zoufale kvůli přetížené síti .,0,1,FP
gold_doc_0031,gold_doc_0031_target,země,NOUN,Na jihu země to ale vypadá zoufale kvůli přetížené síti .,0,1,FP
gold_doc_0031,gold_doc_0031_target,vypadá,VERB,Na jihu země to ale vypadá zoufale kvůli přetížené síti .,0,1,FP
gold_doc_0031,gold_doc_0031_target,zoufale,ADV,Na jihu země to ale vypadá zoufale kvůli přetížené síti .,1,1,TP
gold_doc_0031,gold_doc_0031_target,přetížené,ADJ,Na jihu země to ale vypadá zoufale kvůli přetížené síti .,0,1,FP
gold_doc_0031,gold_doc_0031_target,síti,NOUN,Na jihu země to ale vypadá zoufale kvůli přetížené síti .,0,1,FP
gold_doc_0041,gold_doc_0041_target,zbabělý,ADJ,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,1,1,TP
gold_doc_0041,gold_doc_0041_target,ústupek,NOUN,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,0,1,FP
gold_doc_0041,gold_doc_0041_target,slibů,NOUN,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,0,1,FP
gold_doc_0041,gold_doc_0041_target,narušuje,VERB,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,0,1,FP
gold_doc_0041,gold_doc_0041_target,důvěru,NOUN,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,0,1,FP
gold_doc_0041,gold_doc_0041_target,celý,ADJ,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,0,1,FP
gold_doc_0041,gold_doc_0041_target,vládní,ADJ,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,0,1,FP
