document_id,sentence_id,text,true_label,pred_label,anomaly_score,category
gold_doc_0003,gold_doc_0003_target,Tempo výstavby nových bytů je žalostné .,1,1,-0.11488212043195367,TP
gold_doc_0007,gold_doc_0007_target,Produktivita práce v některých odvětvích je však mizerná .,1,1,-0.1218310404253089,TP
gold_doc_0010,gold_doc_0010_target,Úroveň čistoty ve vozidlech je otřesná .,1,1,-0.07422055527165705,TP
gold_doc_0011,gold_doc_0011_target,Naprosté selhání dozorových orgánů vedlo k opožděné reakci na růst cen .,1,0,-0.3886802221414234,FN
gold_doc_0014,gold_doc_0014_target,Vývoj na trhu práce je alarmující zejména v menších regionech .,1,1,0.03546046115484858,TP
gold_doc_0031,gold_doc_0031_target,Na jihu země to ale vypadá zoufale kvůli přetížené síti .,1,1,0.10133629849418324,TP
gold_doc_0041,gold_doc_0041_target,Tento zbabělý ústupek ze slibů narušuje důvěru v celý vládní kabinet .,1,0,-0.19544151149547462,FN
gold_doc_0042,gold_doc_0042_target,Poškození klíčových strojů je tragické a podle slov ředitele zničující pro celou firmu .,1,0,-0.3413004611408377,FN
gold_doc_0044,gold_doc_0044_target,"Aktuální tempo vakcinace české populace , zjeména důchodců , můžeme označit za žalostné .",1,0,-0.22614349932490407,FN
gold_doc_0045,gold_doc_0045_target,Babiš si zavařil sám a proto zahájil nové jednání s jinými poslaneckými kluby .,1,0,-0.3781649645361598,FN
gold_doc_0056,gold_doc_0056_target,"Dodal , že firma se chce zaměřit na jednání s městem o nastavení pravidel pro bikesharing .",1,1,-0.15414883066678153,TP
gold_doc_0059,gold_doc_0059_target,Když tváře hnutí ANO vystoupily na vítězné tiskové konferenci po vyhlášení výsledků sněmovních voleb .,1,1,-0.11349803822165083,TP
gold_doc_0071,gold_doc_0071_target,"Komisař potvrdil , že auto jelo asi sto třicet kilometrů za hodinu .",1,1,0.26653032584551606,TP
gold_doc_0072,gold_doc_0072_target,"Hledání nového kandidáta bude trvat pomalu měsíc , kvůli absenci vhodných osobností .",1,0,-0.27063425989814105,FN
gold_doc_0073,gold_doc_0073_target,Kritizované podmínky splnilo skoro všech pět zájemců o celou zakázku .,1,1,-0.14850379334070318,TP
gold_doc_0077,gold_doc_0077_target,"Opravdu šlo o tu chodbu , která byla u východu z té hlavní dvorany , ve které došlo k tlačenici .",1,1,0.45390346894224076,TP
gold_doc_0078,gold_doc_0078_target,"A že nemusíme mluvit pouze v patetických termínech , které nic neřeší .",1,1,0.04197242854113825,TP
gold_doc_0080,gold_doc_0080_target,"Tedy případ , který se objevil v Rakousku , což je tedy šarže v dalších státech jako je Dánsko .",1,1,0.07863747354372763,TP
gold_doc_0084,gold_doc_0084_target,Stále nedořešená je otázka pendlerů a jejich zdanění v obou zemích .,1,0,-0.2787129892371456,FN
gold_doc_0085,gold_doc_0085_target,"Už v neděli večer se hlava státu omlouvala spoluobčanům za to , jaký dojem aféra zanechala .",1,0,-0.28170098552034584,FN
gold_doc_0088,gold_doc_0088_target,Růst cen energií se zastavil a nastoupila nová fáze konsolidace trhu .,1,0,-0.30474720091487306,FN
gold_doc_0091,gold_doc_0091_target,"Byl zjištěn nečekaný případ inkongruence nálezů , které se neshodují .",1,0,-0.22063107568724405,FN
gold_doc_0106,gold_doc_0106_target,"Muž vedl mystický život plný záhad a zcela podivných rituálů , jak dokládají spisy .",1,1,-0.02629559566581885,TP
gold_doc_0121,gold_doc_0121_target,"Byly nalezeny desítky artefaktů , které pocházejí z raného středověku v této oblasti .",1,0,-0.22025479905323841,FN
gold_doc_0122,gold_doc_0122_target,"Nové opatření se týká bezmála všech velkých investičních společností , které tu podnikají .",1,0,-0.31548787696385605,FN
gold_doc_0138,gold_doc_0138_target,"Rozhodnutí bylo zbabělé , ministr měl bojovat až do samotného konce .",1,1,0.10309924100813195,TP
gold_doc_0139,gold_doc_0139_target,Ceny těchto nemovitostí jsou neskutečné .,1,1,-0.002269324747798729,TP
gold_doc_0143,gold_doc_0143_target,"Macinka předal Majerové velkou kytici , protože se jí chtěl omluvit za hodně vulgární výraz , který v minulosti na její adresu použil .",1,1,0.16652853809465462,TP
gold_doc_0155,gold_doc_0155_target,"Hodnota cenných papírů banky poklesla během obchodního dne o 1 , 2 procenta .",0,0,-0.40350859245654624,TN
gold_doc_0159,gold_doc_0159_target,Nemocnost v populaci dosáhla úrovně 1500 případů na sto tisíc obyvatel .,0,1,-0.14741190206467603,FP
