text,sentence,document_id,true_label,pred_label,anomaly_score,category
tak,[Context Not Available],gold_doc_0495,0,1,66702.09904579491,FP
koupání,[Context Not Available],gold_doc_0430,0,1,55358.11818740406,FP
Poučila,[Context Not Available],gold_doc_0243,1,1,49507.3911505064,TP
omluvit,[Context Not Available],gold_doc_0143,0,1,46701.53243288011,FP
adresu,[Context Not Available],gold_doc_0143,0,1,46024.45713599286,FP
Většina,[Context Not Available],gold_doc_0430,0,1,44749.964634840544,FP
můžeme,[Context Not Available],gold_doc_0044,0,1,43192.98941744418,FP
nemusíme,[Context Not Available],gold_doc_0078,0,1,42169.10932015437,FP
zanechala,[Context Not Available],gold_doc_0085,0,1,37193.7739998887,FP
scéně,[Context Not Available],gold_doc_0339,0,1,36549.25951683234,FP
Opravdu,[Context Not Available],gold_doc_0077,0,1,36009.4470701941,FP
označit,[Context Not Available],gold_doc_0044,0,1,35655.83106679488,FP
je,[Context Not Available],gold_doc_0080,0,1,35472.3923417275,FP
Poté,[Context Not Available],gold_doc_0276,0,1,35322.154148642745,FP
Stále,[Context Not Available],gold_doc_0084,0,1,35224.888373249116,FP
Muž,[Context Not Available],gold_doc_0106,0,1,34871.92289160975,FP
náměstím,[Context Not Available],gold_doc_0415,0,1,34643.174588050024,FP
strany,[Context Not Available],gold_doc_0217,0,1,34443.691391596,FP
mluvit,[Context Not Available],gold_doc_0078,0,1,33275.77256795097,FP
pracovním,[Context Not Available],gold_doc_0495,0,1,33037.4405117434,FP
plný,[Context Not Available],gold_doc_0106,0,1,32230.54102591237,FP
hodinu,[Context Not Available],gold_doc_0071,0,1,31803.382689485123,FP
Problém,[Context Not Available],gold_doc_0329,0,1,31795.61371477445,FP
problémy,[Context Not Available],gold_doc_0313,0,1,31753.176950157944,FP
vedou,[Context Not Available],gold_doc_0317,0,1,31707.682871026125,FP
víc,[Context Not Available],gold_doc_0244,0,1,31649.23146026475,FP
známém,[Context Not Available],gold_doc_0517,0,1,31350.741716007054,FP
filozofie,[Context Not Available],gold_doc_0228,0,1,31105.432146194267,FP
Už,[Context Not Available],gold_doc_0085,0,1,31038.706733497693,FP
státu,[Context Not Available],gold_doc_0085,0,1,30692.090057261346,FP
