text,sentence,document_id,true_label,pred_label,anomaly_score,category
hodně,[Context Not Available],gold_doc_0143,1,1,3.2756699444911312,TP
peklo,[Context Not Available],gold_doc_0342,1,1,2.5752799895750442,TP
pomalu,[Context Not Available],gold_doc_0072,1,1,2.47160384170893,TP
ten,[Context Not Available],gold_doc_0389,1,1,2.2663682436382473,TP
ty,[Context Not Available],gold_doc_0378,1,1,2.2628962644361543,TP
#,[Context Not Available],gold_doc_0280,0,1,2.214916947230961,FP
71,[Context Not Available],gold_doc_0240,0,1,2.201912763772423,FP
je,[Context Not Available],gold_doc_0080,0,1,1.961836819164585,FP
samotného,[Context Not Available],gold_doc_0138,0,1,1.9573437413102361,FP
#,[Context Not Available],gold_doc_0281,0,1,1.9072708558471518,FP
který,[Context Not Available],gold_doc_0143,0,1,1.7510898465878917,FP
Poté,[Context Not Available],gold_doc_0276,0,1,1.720549242249124,FP
z,[Context Not Available],gold_doc_0435,0,1,1.7150314579049883,FP
víc,[Context Not Available],gold_doc_0244,0,1,1.6772751192950146,FP
Pražském,[Context Not Available],gold_doc_0195,0,1,1.6466378207915469,FP
neřeší,[Context Not Available],gold_doc_0078,0,1,1.5785312987489775,FP
bodu,[Context Not Available],gold_doc_0169,0,1,1.5568181618711705,FP
hodinu,[Context Not Available],gold_doc_0071,0,1,1.5223929491223664,FP
Nová,[Context Not Available],gold_doc_0317,0,1,1.4558018596816353,FP
Tu,[Context Not Available],gold_doc_0385,0,1,1.4035302394822509,FP
",",[Context Not Available],gold_doc_0169,0,1,1.3561797448000839,FP
sám,[Context Not Available],gold_doc_0045,0,1,1.1642630234559341,FP
ke,[Context Not Available],gold_doc_0430,0,0,1.09670396334581,TN
růžová,[Context Not Available],gold_doc_0495,1,0,1.0034374939055546,FN
ta,[Context Not Available],gold_doc_0353,1,0,0.9341016705640222,FN
tun,[Context Not Available],gold_doc_0389,0,0,0.9059690923848613,TN
Místní,[Context Not Available],gold_doc_0464,0,0,0.8185225816690718,TN
že,[Context Not Available],gold_doc_0078,0,0,0.7214797523360126,TN
své,[Context Not Available],gold_doc_0442,0,0,0.6765198262320276,TN
jako,[Context Not Available],gold_doc_0080,0,0,0.675417777787704,TN
nemusíme,[Context Not Available],gold_doc_0078,0,0,0.6396777184267748,TN
výzvou,[Context Not Available],gold_doc_0338,1,0,0.6019765409986064,FN
scéně,[Context Not Available],gold_doc_0339,0,0,0.5744969590548763,TN
oprávněných,[Context Not Available],gold_doc_0240,0,0,0.5167928042874586,TN
adresu,[Context Not Available],gold_doc_0143,0,0,0.5094681156972634,TN
jelo,[Context Not Available],gold_doc_0071,0,0,0.4332362511565151,TN
6,[Context Not Available],gold_doc_0169,0,0,0.41922214221994736,TN
skoro,[Context Not Available],gold_doc_0073,1,0,0.38987389541840045,FN
útok,[Context Not Available],gold_doc_0491,1,0,0.3810176767511315,FN
auto,[Context Not Available],gold_doc_0071,0,0,0.34824571287480666,TN
stála,[Context Not Available],gold_doc_0512,0,0,0.32888855706581666,TN
převzala,[Context Not Available],gold_doc_0385,0,0,0.30944900991898194,TN
to,[Context Not Available],gold_doc_0388,1,0,0.3014251318634429,FN
divadlo,[Context Not Available],gold_doc_0320,1,0,0.2732000863615056,FN
byla,[Context Not Available],gold_doc_0077,0,0,0.21288547365633192,TN
hradě,[Context Not Available],gold_doc_0195,0,0,0.20658644085267497,TN
ten,[Context Not Available],gold_doc_0370,0,0,0.19650744279942245,TN
světa,[Context Not Available],gold_doc_0371,0,0,0.19097518267981783,TN
20,[Context Not Available],gold_doc_0240,0,0,0.18411324544292995,TN
dva,[Context Not Available],gold_doc_0244,0,0,0.1720075424349936,TN
je,[Context Not Available],gold_doc_0080,0,0,0.15655652491641803,TN
velkou,[Context Not Available],gold_doc_0143,0,0,0.15272827515842735,TN
vyčíslena,[Context Not Available],gold_doc_0180,0,0,0.1486643075010079,TN
zemí,[Context Not Available],gold_doc_0371,0,0,0.1099673565620094,TN
katedrály,[Context Not Available],gold_doc_0195,0,0,0.0951216847023062,TN
Pardubic,[Context Not Available],gold_doc_0435,0,0,0.07860929977094244,TN
už,[Context Not Available],gold_doc_0507,0,0,0.07188868414468175,TN
která,[Context Not Available],gold_doc_0077,0,0,0.06342065328666635,TN
zoufale,[Context Not Available],gold_doc_0031,1,0,0.058073659791727295,FN
pololetí,[Context Not Available],gold_doc_0201,0,0,0.05669383563131447,TN
deset,[Context Not Available],gold_doc_0237,0,0,0.050664687054624125,TN
",",[Context Not Available],gold_doc_0169,0,0,0.04093735846081259,TN
plném,[Context Not Available],gold_doc_0405,0,0,0.03539821764409723,TN
chtěl,[Context Not Available],gold_doc_0143,0,0,0.03497215239559992,TN
zcela,[Context Not Available],gold_doc_0106,0,0,0.00022944188343743122,TN
sto,[Context Not Available],gold_doc_0159,0,0,8.16643164647246e-05,TN
75,[Context Not Available],gold_doc_0169,0,0,1.357836577398075e-05,TN
procenta,[Context Not Available],gold_doc_0169,0,0,-0.0004883755061015904,TN
dat,[Context Not Available],gold_doc_0283,0,0,-0.008829260676545658,TN
letos,[Context Not Available],gold_doc_0237,0,0,-0.014356031415477588,TN
té,[Context Not Available],gold_doc_0077,0,0,-0.03142319261207405,TN
střední,[Context Not Available],gold_doc_0338,0,0,-0.050724621886097054,TN
jen,[Context Not Available],gold_doc_0240,1,0,-0.061740987548120074,FN
u,[Context Not Available],gold_doc_0077,0,0,-0.062409174591426364,TN
procentního,[Context Not Available],gold_doc_0169,0,0,-0.0643362576025801,TN
rozsahu,[Context Not Available],gold_doc_0405,0,0,-0.0772551929435572,TN
obrovskou,[Context Not Available],gold_doc_0338,0,0,-0.0774990679046077,TN
které,[Context Not Available],gold_doc_0078,0,0,-0.0853685499880541,TN
a,[Context Not Available],gold_doc_0242,0,0,-0.08740181916120449,TN
Když,[Context Not Available],gold_doc_0059,0,0,-0.09405622355243537,TN
cizině,[Context Not Available],gold_doc_0243,0,0,-0.11145527007311884,TN
Výsledky,[Context Not Available],gold_doc_0339,0,0,-0.11482592756215482,TN
vítězné,[Context Not Available],gold_doc_0059,0,0,-0.1148303363696428,TN
pila,[Context Not Available],gold_doc_0385,0,0,-0.14448268708198952,TN
hrozí,[Context Not Available],gold_doc_0431,0,0,-0.14549416696476314,TN
milionů,[Context Not Available],gold_doc_0264,0,0,-0.14586252234310493,TN
tragické,[Context Not Available],gold_doc_0042,1,0,-0.14930118799470904,FN
té,[Context Not Available],gold_doc_0295,0,0,-0.17217563584772577,TN
Na,[Context Not Available],gold_doc_0264,0,0,-0.18387814719134,TN
voleb,[Context Not Available],gold_doc_0059,0,0,-0.2152500070762038,TN
z,[Context Not Available],gold_doc_0077,0,0,-0.21694417677337086,TN
bezmála,[Context Not Available],gold_doc_0122,1,0,-0.2281148201312888,FN
kvalita,[Context Not Available],gold_doc_0421,0,0,-0.22901326588632287,TN
kluby,[Context Not Available],gold_doc_0045,0,0,-0.2427266824116785,TN
sídle,[Context Not Available],gold_doc_0291,0,0,-0.2560552711612871,TN
babičky,[Context Not Available],gold_doc_0304,1,0,-0.25872029192345636,FN
míst,[Context Not Available],gold_doc_0165,0,0,-0.26094179791517647,TN
nic,[Context Not Available],gold_doc_0078,0,0,-0.2637110826057487,TN
červenou,[Context Not Available],gold_doc_0431,0,0,-0.2665495323790701,TN
dne,[Context Not Available],gold_doc_0155,0,0,-0.26677527835092363,TN
Při,[Context Not Available],gold_doc_0174,0,0,-0.27173094874707715,TN
konce,[Context Not Available],gold_doc_0138,0,0,-0.29727485878231263,TN
slibů,[Context Not Available],gold_doc_0041,0,0,-0.3055320738868659,TN
dojem,[Context Not Available],gold_doc_0085,0,0,-0.30947597631602264,TN
východu,[Context Not Available],gold_doc_0077,0,0,-0.33503329279991334,TN
umělé,[Context Not Available],gold_doc_0281,0,0,-0.33800010349958143,TN
sta,[Context Not Available],gold_doc_0427,0,0,-0.34306140676295627,TN
páry,[Context Not Available],gold_doc_0491,0,0,-0.3473866960420793,TN
",",[Context Not Available],gold_doc_0240,0,0,-0.36670601937617064,TN
5,[Context Not Available],gold_doc_0169,0,0,-0.37691058976333025,TN
podepsána,[Context Not Available],gold_doc_0291,0,0,-0.37985730899229964,TN
techniku,[Context Not Available],gold_doc_0384,0,0,-0.40019014129558883,TN
hrubé,[Context Not Available],gold_doc_0210,0,0,-0.4029641366564576,TN
2,[Context Not Available],gold_doc_0155,0,0,-0.4246714733148913,TN
ta,[Context Not Available],gold_doc_0384,1,0,-0.42994395476246794,FN
trhu,[Context Not Available],gold_doc_0014,0,0,-0.43234684190823813,TN
použil,[Context Not Available],gold_doc_0143,0,0,-0.4369128771644597,TN
.,[Context Not Available],gold_doc_0464,0,0,-0.4447741437870434,TN
keramika,[Context Not Available],gold_doc_0378,0,0,-0.444880755603716,TN
procenta,[Context Not Available],gold_doc_0240,0,0,-0.44626044029020306,TN
tak,[Context Not Available],gold_doc_0495,0,0,-0.46798854263154865,TN
ve,[Context Not Available],gold_doc_0077,0,0,-0.46926902440860374,TN
rozloze,[Context Not Available],gold_doc_0242,0,0,-0.48520357242655976,TN
Víta,[Context Not Available],gold_doc_0195,0,0,-0.4889389319062296,TN
přibližně,[Context Not Available],gold_doc_0357,0,0,-0.500130331124307,TN
Tedy,[Context Not Available],gold_doc_0080,0,0,-0.5064555774851911,TN
nastavení,[Context Not Available],gold_doc_0056,0,0,-0.5230672635009554,TN
dokládají,[Context Not Available],gold_doc_0106,0,0,-0.5247007349881407,TN
kilometrů,[Context Not Available],gold_doc_0071,0,0,-0.5256986179841299,TN
se,[Context Not Available],gold_doc_0313,0,0,-0.5275166005070773,TN
které,[Context Not Available],gold_doc_0077,0,0,-0.5280466226685334,TN
třicet,[Context Not Available],gold_doc_0071,0,0,-0.5334297655785427,TN
stoupne,[Context Not Available],gold_doc_0455,0,0,-0.5478311758825605,TN
Vývoj,[Context Not Available],gold_doc_0014,0,0,-0.5545976800882073,TN
protože,[Context Not Available],gold_doc_0143,0,0,-0.5581086059838256,TN
chřipce,[Context Not Available],gold_doc_0168,0,0,-0.5697683156387789,TN
",",[Context Not Available],gold_doc_0077,0,0,-0.5761511744233232,TN
proti,[Context Not Available],gold_doc_0168,0,0,-0.5781206331389832,TN
tedy,[Context Not Available],gold_doc_0080,0,0,-0.5868085297506056,TN
textů,[Context Not Available],gold_doc_0370,0,0,-0.5985027731403108,TN
až,[Context Not Available],gold_doc_0138,0,0,-0.5995383803177354,TN
do,[Context Not Available],gold_doc_0138,0,0,-0.6119003412641604,TN
než,[Context Not Available],gold_doc_0244,0,0,-0.618488919042111,TN
sbírky,[Context Not Available],gold_doc_0237,0,0,-0.6195373139282161,TN
výstavby,[Context Not Available],gold_doc_0003,0,0,-0.6293375924861131,TN
což,[Context Not Available],gold_doc_0080,0,0,-0.63641695593709,TN
o,[Context Not Available],gold_doc_0215,0,0,-0.6372723488003835,TN
si,[Context Not Available],gold_doc_0045,0,0,-0.6480780355392959,TN
zákonem,[Context Not Available],gold_doc_0313,0,0,-0.6493330430142201,TN
česká,[Context Not Available],gold_doc_0435,0,0,-0.6571460015279982,TN
prosinec,[Context Not Available],gold_doc_0276,0,0,-0.6688312382014914,TN
za,[Context Not Available],gold_doc_0237,0,0,-0.6808394485139644,TN
.,[Context Not Available],gold_doc_0014,0,0,-0.6975175005848087,TN
